"PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,567627.00,0.00,455.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,10620,1062002,30620,"BIL","Billings, MT","MT","30","Montana",84,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,1,"G",
0.00,18239.00,5737.00,1026.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10559,1055902,30559,"BFI","Seattle, WA","WA","53","Washington",93,2017,2,6,3,"G",
0.00,1175210.00,26302.00,455.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10620,1062002,30620,"BIL","Billings, MT","MT","30","Montana",84,2017,2,6,1,"G",
0.00,153735.00,0.00,850.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10800,1080003,32575,"BUR","Burbank, CA","CA","06","California",91,2017,2,6,2,"G",
0.00,32891.00,3787.00,628.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,2017,2,6,2,"G",
0.00,856546.00,0.00,819.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,2017,2,6,2,"G",
0.00,552896.00,0.00,804.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14570,1457002,34570,"RNO","Reno, NV","NV","32","Nevada",85,2017,2,6,2,"G",
0.00,2649508.00,283060.00,1024.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14730,1473003,33044,"SDF","Louisville, KY","KY","21","Kentucky",52,2017,2,6,3,"G",
0.00,206300.00,0.00,391.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,2017,2,6,1,"G",
0.00,1469756.00,0.00,819.00,"5X",19917,"United Parcel Service","06910","D","5X","United Parcel Service",3,3,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
