origin_airport_id,destination_airport_id,origin_airport_seq_id,destination_airport_seq_id,city
12954,11292,1295403,1129202,LGB
11292,14771,1129202,1477102,DEN
14771,11292,1477102,1129202,SFO
11423,10325,1142304,1032504,DSM
11292,11315,1129202,1131502,DEN
11292,12389,1129202,1238902,DEN
11315,11292,1131502,1129202,DIK
11503,15016,1150303,1501603,EGE
15016,11503,1501603,1150303,STL
12544,11503,1254403,1150303,USA
10397,11292,1039705,1129202,ATL
11292,11996,1129202,1199603,DEN
11109,15570,1110902,1557001,COS
12889,11109,1288903,1110902,LAS
10372,10800,1037203,1080003,ASE
10800,11503,1080003,1150303,BUR
11503,10800,1150303,1080003,EGE
14869,10372,1486903,1037203,SLC
11292,14107,1129202,1410702,DEN
14100,11292,1410002,1129202,PHL
10397,11109,1039705,1110902,ATL
11109,10397,1110902,1039705,COS
11109,11298,1110902,1129804,COS
11122,11292,1112203,1129202,CPR
11292,10397,1129202,1039705,DEN
11292,11193,1129202,1119302,DEN
11292,11433,1129202,1143302,DEN
11292,11775,1129202,1177502,DEN
11292,12889,1129202,1288903,DEN
11292,14679,1129202,1467903,DEN
11292,14869,1129202,1486903,DEN
11433,11292,1143302,1129202,DTW
13487,11292,1348702,1129202,MSP
13851,11292,1385103,1129202,OKC
14869,11292,1486903,1129202,SLC
10529,11292,1052904,1129202,BDL
11109,16091,1110902,1609103,COS
13796,11109,1379604,1110902,OAK
10558,11292,1055803,1129202,BFF
11292,11042,1129202,1104203,DEN
11292,12448,1129202,1244805,DEN
11292,12892,1129202,1289205,DEN
11292,13303,1129202,1330303,DEN
11292,14524,1129202,1452401,DEN
13341,11292,1334102,1129202,MKC
11109,11292,1110902,1129202,COS
11233,11292,1123302,1129202,CYS
11259,11109,1125903,1110902,DAL
11292,10792,1129202,1079204,DEN
11292,11140,1129202,1114006,DEN
11292,11481,1129202,1148102,DEN
11292,11973,1129202,1197302,DEN
11292,12896,1129202,1289605,DEN
11292,12992,1129202,1299204,DEN
14831,11109,1483104,1110902,SJC
10325,10423,1032504,1042302,APA
10325,13930,1032504,1393004,APA
10325,14831,1032504,1483104,APA
10423,10325,1042302,1032504,AUS
11066,10325,1106603,1032504,CMH
14792,10372,1479201,1037203,SGR
10466,11292,1046602,1129202,AZA
10747,11292,1074702,1129202,BRO
11292,13796,1129202,1379604,DEN
11292,14275,1129202,1427502,DEN
11563,11921,1156303,1192102,ENV
11921,11563,1192102,1156303,GJT
14576,11292,1457604,1129202,ROC
15370,11292,1537002,1129202,TUL
11376,11292,1137601,1129202,DPA
11292,13342,1129202,1334205,DEN
14570,11292,1457002,1129202,RNO
11292,10590,1129202,1059004,DEN
11719,10590,1171902,1059004,FNL
10590,11292,1059004,1129202,IFP
10590,11719,1059004,1171902,IFP
10590,13502,1059004,1350202,IFP
10590,14288,1059004,1428803,IFP
13502,10590,1350202,1059004,MTJ
14288,10590,1428803,1059004,PUB
11840,14288,1184002,1428803,GAD
14288,13796,1428803,1379604,PUB
11193,11292,1119302,1129202,CVG
14747,11109,1474703,1110902,SEA
11292,13851,1129202,1385103,DEN
10325,11292,1032504,1129202,APA
11283,11292,1128302,1129202,DDC
11292,10558,1129202,1055803,DEN
11292,11283,1129202,1128302,DEN
11292,11292,1129202,1129202,DEN
11292,11468,1129202,1146802,DEN
11292,12899,1129202,1289902,DEN
11292,12902,1129202,1290203,DEN
11468,11292,1146802,1129202,EAR
12899,11292,1289902,1129202,LBF
12902,10325,1290203,1032504,LBL
12902,11292,1290203,1129202,LBL
11292,14081,1129202,1408102,DEN
14288,11711,1428803,1171102,PUB
11292,10409,1129202,1040903,DEN
12389,11292,1238902,1129202,ISN
11921,12889,1192102,1288903,GJT
12889,11921,1288903,1192102,LAS
11109,12278,1110902,1227803,COS
11292,10721,1129202,1072102,DEN
13204,11292,1320402,1129202,MCO
13930,11109,1393004,1110902,ORD
14492,11292,1449202,1129202,RDU
14869,11109,1486903,1110902,SLC
11292,13487,1129202,1348702,DEN
11292,15370,1129202,1537002,DEN
11986,11292,1198603,1129202,GRR
11097,11292,1109702,1129202,COD
11109,12992,1110902,1299204,COS
11109,13486,1110902,1348602,COS
11109,15376,1110902,1537602,COS
11278,11109,1127803,1110902,DCA
11292,10140,1129202,1014003,DEN
11292,10423,1129202,1042302,DEN
11292,11003,1129202,1100303,DEN
11292,11097,1129202,1109702,DEN
11292,11122,1129202,1112203,DEN
11292,11298,1129202,1129804,DEN
11292,11986,1129202,1198603,DEN
11292,12266,1129202,1226603,DEN
11292,12441,1129202,1244102,DEN
11292,13264,1129202,1326403,DEN
11292,13871,1129202,1387102,DEN
11292,13930,1129202,1393004,DEN
11292,14489,1129202,1448902,DEN
11292,14730,1129202,1473003,DEN
11292,14908,1129202,1490803,DEN
11292,15041,1129202,1504102,DEN
11298,11109,1129804,1110902,DFW
11921,12892,1192102,1289205,GJT
12266,11292,1226603,1129202,IAH
12441,11292,1244102,1129202,JAC
12888,11292,1288802,1129202,LAR
12892,11292,1289205,1129202,LAX
12992,11292,1299204,1129202,LIT
13264,11292,1326403,1129202,MFR
13486,11109,1348602,1110902,MSO
13930,11292,1393004,1129202,ORD
14057,11292,1405702,1129202,PDX
14252,11921,1425202,1192102,PSC
14679,11292,1467903,1129202,SAN
14683,11292,1468303,1129202,SAT
14794,11109,1479403,1110902,SGU
14893,11292,1489302,1129202,SMF
14908,11292,1490803,1129202,SNA
10140,11292,1014003,1129202,ABQ
10721,11292,1072102,1129202,BOS
10849,11292,1084903,1129202,BZN
11292,10620,1129202,1062002,DEN
11292,10849,1129202,1084903,DEN
11292,11697,1129202,1169704,DEN
11292,12264,1129202,1226402,DEN
11292,13198,1129202,1319801,DEN
11292,13204,1129202,1320402,DEN
11292,14100,1129202,1410002,DEN
11292,14262,1129202,1426204,DEN
11292,14570,1129202,1457002,DEN
11292,15016,1129202,1501603,DEN
12264,11292,1226402,1129202,IAD
13198,11292,1319801,1129202,MCI
14262,11292,1426204,1129202,PSP
14524,11292,1452401,1129202,RIC
14689,11292,1468902,1129202,SBA
15016,11292,1501603,1129202,STL
10994,11292,1099402,1129202,CHS
11042,11292,1104203,1129202,CLE
11292,10713,1129202,1071302,DEN
11292,14057,1129202,1405702,DEN
11292,14635,1129202,1463502,DEN
13495,11292,1349503,1129202,MSY
14122,11292,1412202,1129202,PIT
14635,11292,1463502,1129202,RSW
11292,11109,1129202,1110902,DEN
11292,11423,1129202,1142304,DEN
11292,12278,1129202,1227803,DEN
12278,11292,1227803,1129202,ICT
14730,11292,1473003,1129202,SDF
11292,11066,1129202,1106603,DEN
11292,12339,1129202,1233904,DEN
11292,13486,1129202,1348602,DEN
11292,15412,1129202,1541203,DEN
12339,11292,1233904,1129202,IND
13486,11292,1348602,1129202,MSO
14107,11292,1410702,1129202,PHX
15304,11292,1530402,1129202,TPA
15412,11292,1541203,1129202,TYS
11292,13495,1129202,1349503,DEN
11292,15376,1129202,1537602,DEN
11921,14869,1192102,1486903,GJT
13244,11921,1324402,1192102,MEM
13796,11292,1379604,1129202,OAK
13502,12891,1350202,1289102,MTJ
11292,11413,1129202,1141304,DEN
11413,11292,1141304,1129202,DRO
11298,13502,1129804,1350202,DFW
13502,11298,1350202,1129804,MTJ
11292,14877,1129202,1487704,DEN
14877,11292,1487704,1129202,SLN
11109,15016,1110902,1501603,COS
12266,12012,1226603,1201203,IAH
11292,10559,1129202,1055902,DEN
11423,11292,1142304,1129202,DSM
11292,11921,1129202,1192102,DEN
11292,12003,1129202,1200302,DEN
11292,14683,1129202,1468303,DEN
11638,11109,1163805,1110902,FAT
11921,10372,1192102,1037203,GJT
11921,11292,1192102,1129202,GJT
11921,11298,1192102,1129804,GJT
12003,11292,1200302,1129202,GTF
13930,11921,1393004,1192102,ORD
15919,11292,1591902,1129202,XNA
11278,11292,1127803,1129202,DCA
11292,11278,1129202,1127803,DEN
11292,11884,1129202,1188402,DEN
11292,14492,1129202,1449202,DEN
11292,14689,1129202,1468902,DEN
11292,15304,1129202,1530402,DEN
11603,11292,1160302,1129202,EUG
11618,11292,1161802,1129202,EWR
11884,11292,1188402,1129202,GEG
12889,11292,1288903,1129202,LAS
15376,11292,1537602,1129202,TUS
10713,11292,1071302,1129202,BOI
11292,10821,1129202,1082104,DEN
11292,10994,1129202,1099402,DEN
14747,11292,1474703,1129202,SEA
14831,11292,1483104,1129202,SJC
11066,11292,1106603,1129202,CMH
11292,10599,1129202,1059904,DEN
11292,13485,1129202,1348502,DEN
13485,11292,1348502,1129202,MSN
11292,11540,1129202,1154003,DEN
11298,11292,1129804,1129202,DFW
13367,11292,1336703,1129202,MLI
10279,11292,1027903,1129202,AMA
11292,10279,1129202,1027903,DEN
11292,11267,1129202,1126702,DEN
11292,13502,1129202,1350202,DEN
11292,13891,1129202,1389101,DEN
12892,11921,1289205,1192102,LAX
12896,11292,1289605,1129202,LBB
13502,11292,1350202,1129202,MTJ
13891,11292,1389101,1129202,ONT
14457,11292,1445702,1129202,RAP
10800,11292,1080003,1129202,BUR
10821,11292,1082104,1129202,BWI
11057,11292,1105703,1129202,CLT
11292,11618,1129202,1161802,DEN
10257,11292,1025702,1129202,ALB
11292,12954,1129202,1295403,DEN
11292,13931,1129202,1393102,DEN
11292,14747,1129202,1474703,DEN
11292,14831,1129202,1483104,DEN
11292,14893,1129202,1489302,DEN
13871,11292,1387102,1129202,OMA
13931,11292,1393102,1129202,ORF
10599,11292,1059904,1129202,BHM
11292,10693,1129202,1069302,DEN
11292,13244,1129202,1324402,DEN
11292,15919,1129202,1591902,DEN
13244,11292,1324402,1129202,MEM
11003,11292,1100303,1129202,CID
10620,11292,1062002,1129202,BIL
11292,14783,1129202,1478302,DEN
11292,14814,1129202,1481402,DEN
14814,11292,1481402,1129202,SHV
11413,12892,1141304,1289205,DRO
12892,11413,1289205,1141304,LAX
14783,11292,1478302,1129202,SGF
11292,11057,1129202,1105703,DEN
11292,11603,1129202,1160302,DEN
11292,11648,1129202,1164802,DEN
11292,12982,1129202,1298202,DEN
11648,11292,1164802,1129202,FCA
12982,11292,1298202,1129202,LIH
13342,11292,1334205,1129202,MKE
11540,11292,1154003,1129202,ELP
13502,13930,1350202,1393004,MTJ
13930,13502,1393004,1350202,ORD
11292,10800,1129202,1080003,DEN
11292,13433,1129202,1343302,DEN
11697,11292,1169704,1129202,FLL
10693,11292,1069302,1129202,BNA
12191,11292,1219102,1129202,HOU
11292,11233,1129202,1123302,DEN
11109,12892,1110902,1289205,COS
11292,13964,1129202,1396403,DEN
13433,11292,1343302,1129202,MOT
13964,11292,1396403,1129202,OTH
14489,11292,1448902,1129202,RDM
10423,11292,1042302,1129202,AUS
11292,12451,1129202,1245102,DEN
12451,11292,1245102,1129202,JAX
11109,11921,1110902,1192102,COS
11921,11109,1192102,1110902,GJT
10561,11292,1056103,1129202,BFL
11292,14122,1129202,1412202,DEN
11292,14193,1129202,1419304,DEN
14193,11292,1419304,1129202,PNS
11292,12094,1129202,1209402,DEN
11775,11292,1177502,1129202,FSD
11292,10529,1129202,1052904,DEN
11292,12953,1129202,1295302,DEN
11292,12191,1129202,1219102,DEN
11109,14771,1110902,1477102,COS
14771,11109,1477102,1110902,SFO
11292,12012,1129202,1201203,DEN
12012,11292,1201203,1129202,GUC
12094,11292,1209402,1129202,HDN
10466,11109,1046602,1110902,AZA
11109,10466,1110902,1046602,COS
11109,12889,1110902,1288903,COS
10643,11292,1064301,1129202,BKG
11292,10643,1129202,1064301,DEN
12266,11109,1226603,1110902,IAH
11292,15177,1129202,1517702,DEN
15177,11292,1517702,1129202,TEX
10950,14107,1095002,1410702,CEZ
14107,10950,1410702,1095002,PHX
12892,11109,1289205,1110902,LAX
11292,12478,1129202,1247803,DEN
12478,11292,1247803,1129202,JFK
11638,11921,1163805,1192102,FAT
12953,11292,1295302,1129202,LGA
11292,11995,1129202,1199502,DEN
11995,11292,1199502,1129202,GSO
11259,11292,1125903,1129202,DAL
11109,14747,1110902,1474703,COS
11292,13367,1129202,1336703,DEN
11921,11638,1192102,1163805,GJT
11921,13244,1192102,1324402,GJT
11292,11259,1129202,1125903,DEN
14512,11292,1451202,1129202,RFD
11109,13930,1110902,1393004,COS
10194,11292,1019403,1129202,AFW
11292,10194,1129202,1019403,DEN
10372,14869,1037203,1486903,ASE
11267,11292,1126702,1129202,DAY
11638,11292,1163805,1129202,FAT
10140,11413,1014003,1141304,ABQ
11711,11413,1171102,1141304,FMN
10372,14771,1037203,1477102,ASE
11447,11292,1144703,1129202,DVL
13029,11292,1302902,1129202,LNK
10627,11292,1062702,1129202,BIS
11292,10627,1129202,1062702,DEN
11109,13244,1110902,1324402,COS
12094,11122,1209402,1112203,HDN
13244,11109,1324402,1110902,MEM
11292,14457,1129202,1445702,DEN
11292,11638,1129202,1163805,DEN
14698,11292,1469802,1129202,SBP
14771,10372,1477102,1037203,SFO
13158,11292,1315803,1129202,MAF
12266,13502,1226603,1350202,IAH
13502,12266,1350202,1226603,MTJ
11292,14698,1129202,1469802,DEN
12266,10372,1226603,1037203,IAH
11292,12758,1129202,1275803,DEN
11292,13830,1129202,1383002,DEN
12758,11292,1275803,1129202,KOA
13830,11292,1383002,1129202,OGG
11292,13158,1129202,1315803,DEN
11122,12094,1112203,1209402,CPR
11109,12266,1110902,1226603,COS
11292,10950,1129202,1095002,DEN
11413,10140,1141304,1014003,DRO
10372,12266,1037203,1226603,ASE
10140,10272,1014003,1027203,ABQ
10272,10140,1027203,1014003,ALS
10950,11292,1095002,1129202,CEZ
11292,13029,1129202,1302902,DEN
11503,11298,1150303,1129804,EGE
13303,11292,1330303,1129202,MIA
11292,11637,1129202,1163703,DEN
11298,11503,1129804,1150303,DFW
10372,11298,1037203,1129804,ASE
11298,10372,1129804,1037203,DFW
13502,14107,1350202,1410702,MTJ
14107,13502,1410702,1350202,PHX
11292,11503,1129202,1150303,DEN
11503,11292,1150303,1129202,EGE
11292,12156,1129202,1215603,DEN
12156,11292,1215603,1129202,HLN
12519,11292,1251902,1129202,JMS
11292,12173,1129202,1217302,DEN
12173,11292,1217302,1129202,HNL
11292,10257,1129202,1025702,DEN
11109,13204,1110902,1320402,COS
11109,14107,1110902,1410702,COS
13204,11109,1320402,1110902,MCO
14107,11109,1410702,1110902,PHX
11292,12217,1129202,1221702,DEN
12217,11292,1221702,1129202,HSV
11637,11292,1163703,1129202,FAR
11292,14534,1129202,1453402,DEN
14534,11292,1453402,1129202,RIW
11711,11292,1171102,1129202,FMN
11292,11711,1129202,1171102,DEN
11292,14120,1129202,1412002,DEN
13930,10372,1393004,1037203,ORD
10299,11292,1029904,1129202,ANC
14120,11292,1412002,1129202,PIR
10372,13930,1037203,1393004,ASE
11292,12255,1129202,1225502,DEN
11292,12519,1129202,1251902,DEN
11292,12888,1129202,1288802,DEN
12255,11292,1225502,1129202,HYS
10221,11292,1022103,1129202,AIA
10925,11292,1092502,1129202,CDR
11292,10221,1129202,1022103,DEN
11292,10925,1129202,1092502,DEN
11292,13200,1129202,1320002,DEN
11292,15582,1129202,1558202,DEN
13200,11292,1320002,1129202,MCK
15582,11292,1558202,1129202,VEL
11292,10299,1129202,1029904,DEN
11292,10561,1129202,1056103,DEN
11292,11865,1129202,1186502,DEN
11292,14543,1129202,1454302,DEN
11865,11292,1186502,1129202,GCC
14543,11292,1454302,1129202,RKS
11092,11292,1109202,1129202,CNY
11292,11092,1129202,1109202,DEN
11109,14869,1110902,1486903,COS
12892,10372,1289205,1037203,LAX
14252,11292,1425202,1129202,PSC
14794,11292,1479403,1129202,SGU
10372,12892,1037203,1289205,ASE
11292,14252,1129202,1425202,DEN
11292,14794,1129202,1479403,DEN
11413,14107,1141304,1410702,DRO
11921,14107,1192102,1410702,GJT
14107,11413,1410702,1141304,PHX
14107,11921,1410702,1192102,PHX
11292,14674,1129202,1467402,DEN
14674,11292,1467402,1129202,SAF
10272,11292,1027203,1129202,ALS
11292,14288,1129202,1428803,DEN
14288,11292,1428803,1129202,PUB
11292,10272,1129202,1027203,DEN
14869,11921,1486903,1192102,SLC
12280,11292,1228002,1129202,IDA
11292,12280,1129202,1228002,DEN
11298,11921,1129804,1192102,DFW
11413,11298,1141304,1129804,DRO
11298,11413,1129804,1141304,DFW
13232,11292,1323202,1129202,MDW
11292,13232,1129202,1323202,DEN
10372,11292,1037203,1129202,ASE
11292,10372,1129202,1037203,DEN
