city_state,origin_market_id,wac,city_abr
"Long Beach, CA",32575,91,LGB
"Denver, CO",30325,82,DEN
"San Francisco, CA",32457,91,SFO
"Des Moines, IA",31423,61,DSM
"Dickinson, ND",31315,66,DIK
"Eagle, CO",31503,82,EGE
"St. Louis, MO",31123,64,STL
"CONCORD, NC",32544,36,USA
"Atlanta, GA",30397,34,ATL
"Colorado Springs, CO",30189,82,COS
"Las Vegas, NV",32211,85,LAS
"Aspen, CO",30372,82,ASE
"Burbank, CA",32575,91,BUR
"Salt Lake City, UT",34614,87,SLC
"Philadelphia, PA",34100,23,PHL
"Casper, WY",31122,88,CPR
"Detroit, MI",31295,43,DTW
"Minneapolis, MN",31650,63,MSP
"Oklahoma City, OK",33851,73,OKC
"Hartford, CT",30529,11,BDL
"Oakland, CA",32457,91,OAK
"Scottsbluff, NE",30558,65,BFF
"Kansas City, MO",33198,64,MKC
"Cheyenne, WY",31233,88,CYS
"Dallas, TX",30194,74,DAL
"San Jose, CA",32457,91,SJC
"Denver, CO",30325,82,APA
"Austin, TX",30423,74,AUS
"Columbus, OH",31066,44,CMH
"Sugar Land, TX",34792,74,SGR
"Phoenix, AZ",30466,81,AZA
"Brownsville, TX",30747,74,BRO
"Wendover, UT",31563,87,ENV
"Grand Junction, CO",31921,82,GJT
"Rochester, NY",34576,22,ROC
"Tulsa, OK",34653,73,TUL
"Chicago, IL",30977,41,DPA
"Reno, NV",34570,85,RNO
"Fort Collins/Loveland, CO",31719,82,FNL
"Bullhead City, AZ",30590,81,IFP
"Montrose/Delta, CO",33502,82,MTJ
"Pueblo, CO",34288,82,PUB
"Gadsden, AL",31840,51,GAD
"Cincinnati, OH",33105,52,CVG
"Seattle, WA",30559,93,SEA
"Dodge City, KS",31283,62,DDC
"Kearney, NE",31468,65,EAR
"North Platte, NE",32899,65,LBF
"Liberal, KS",32902,62,LBL
"Williston, ND",32389,66,ISN
"Orlando, FL",31454,33,MCO
"Chicago, IL",30977,41,ORD
"Raleigh/Durham, NC",34492,36,RDU
"Grand Rapids, MI",31986,43,GRR
"Cody, WY",31097,88,COD
"Washington, DC",30852,38,DCA
"Dallas/Fort Worth, TX",30194,74,DFW
"Houston, TX",31453,74,IAH
"Jackson, WY",32441,88,JAC
"Laramie, WY",32888,88,LAR
"Los Angeles, CA",32575,91,LAX
"Little Rock, AR",32600,71,LIT
"Medford, OR",33264,92,MFR
"Missoula, MT",33486,84,MSO
"Portland, OR",34057,92,PDX
"Pasco/Kennewick/Richland, WA",34252,93,PSC
"San Diego, CA",33570,91,SAN
"San Antonio, TX",33214,74,SAT
"St. George, UT",34794,87,SGU
"Sacramento, CA",33192,91,SMF
"Santa Ana, CA",32575,91,SNA
"Albuquerque, NM",30140,86,ABQ
"Boston, MA",30721,13,BOS
"Bozeman, MT",30849,84,BZN
"Washington, DC",30852,38,IAD
"Kansas City, MO",33198,64,MCI
"Palm Springs, CA",34262,91,PSP
"Richmond, VA",34524,38,RIC
"Santa Barbara, CA",34689,91,SBA
"Charleston, SC",30994,37,CHS
"Cleveland, OH",30647,44,CLE
"New Orleans, LA",33495,72,MSY
"Pittsburgh, PA",30198,23,PIT
"Fort Myers, FL",31714,33,RSW
"Wichita, KS",30928,62,ICT
"Louisville, KY",33044,52,SDF
"Indianapolis, IN",32337,42,IND
"Phoenix, AZ",30466,81,PHX
"Tampa, FL",33195,33,TPA
"Knoxville, TN",35412,54,TYS
"Memphis, TN",33244,54,MEM
"Durango, CO",30285,82,DRO
"Salina, KS",34877,62,SLN
"Fresno, CA",31638,91,FAT
"Great Falls, MT",31895,84,GTF
"Fayetteville, AR",31834,71,XNA
"Eugene, OR",31603,92,EUG
"Newark, NJ",31703,21,EWR
"Spokane, WA",31884,93,GEG
"Tucson, AZ",30436,81,TUS
"Boise, ID",30713,83,BOI
"Madison, WI",33485,45,MSN
"Moline, IL",33367,41,MLI
"Amarillo, TX",30279,74,AMA
"Lubbock, TX",32896,74,LBB
"Ontario, CA",32575,91,ONT
"Rapid City, SD",34457,67,RAP
"Baltimore, MD",30852,35,BWI
"Charlotte, NC",31057,36,CLT
"Albany, NY",30257,22,ALB
"Omaha, NE",33316,65,OMA
"Norfolk, VA",33667,38,ORF
"Birmingham, AL",30599,51,BHM
"Cedar Rapids/Iowa City, IA",31003,61,CID
"Billings, MT",30620,84,BIL
"Shreveport, LA",30476,72,SHV
"Springfield, MO",34783,64,SGF
"Kalispell, MT",31648,84,FCA
"Lihue, HI",32982,2,LIH
"Milwaukee, WI",33342,45,MKE
"El Paso, TX",30615,74,ELP
"Fort Lauderdale, FL",32467,33,FLL
"Nashville, TN",30693,54,BNA
"Houston, TX",31453,74,HOU
"Minot, ND",33304,66,MOT
"North Bend/Coos Bay, OR",33964,92,OTH
"Bend/Redmond, OR",34489,92,RDM
"Jacksonville, FL",31136,33,JAX
"Bakersfield, CA",30561,91,BFL
"Pensacola, FL",33728,33,PNS
"Sioux Falls, SD",31775,67,FSD
"Gunnison, CO",32012,82,GUC
"Hayden, CO",34699,82,HDN
"Branson, MO",30643,64,BKG
"Telluride, CO",35177,82,TEX
"Cortez, CO",30950,82,CEZ
"New York, NY",31703,22,JFK
"New York, NY",31703,22,LGA
"Greensboro/High Point, NC",31995,36,GSO
"Rockford, IL",34512,41,RFD
"Dallas/Fort Worth, TX",30194,74,AFW
"Dayton, OH",31267,44,DAY
"Farmington, NM",31711,86,FMN
"Devils Lake, ND",31447,66,DVL
"Lincoln, NE",33029,65,LNK
"Bismarck/Mandan, ND",30627,66,BIS
"San Luis Obispo, CA",34236,91,SBP
"Midland/Odessa, TX",33158,74,MAF
"Kona, HI",32758,2,KOA
"Kahului, HI",33830,2,OGG
"Alamosa, CO",30272,82,ALS
"Miami, FL",32467,33,MIA
"Helena, MT",32156,84,HLN
"Jamestown, ND",32519,66,JMS
"Honolulu, HI",32134,2,HNL
"Huntsville, AL",30255,51,HSV
"Fargo, ND",31637,66,FAR
"Riverton/Lander, WY",34534,88,RIW
"Anchorage, AK",30299,1,ANC
"Pierre, SD",34120,67,PIR
"Hays, KS",32255,62,HYS
"Alliance, NE",30221,65,AIA
"Chadron, NE",30925,65,CDR
"McCook, NE",33200,65,MCK
"Vernal, UT",35582,87,VEL
"Gillette, WY",31865,88,GCC
"Rock Springs, WY",34543,88,RKS
"Moab, UT",31092,87,CNY
"Santa Fe, NM",34674,86,SAF
"Idaho Falls, ID",32280,83,IDA
"Chicago, IL",30977,41,MDW
