passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
146,0,0,20409,2017,6,F,124,107,12954,11292,694,B6,1
117,0,0,21171,2017,6,F,144,125,11292,14771,698,VX,2
119,0,0,21171,2017,6,F,162,121,14771,11292,698,VX,3
2,0,0,21080,2017,6,L,120,108,11423,10325,646,04Q,4
43,0,0,20354,2017,6,L,91,72,11292,11315,675,AJQ,5
41,0,0,20354,2017,6,L,200,165,11292,12389,675,AJQ,6
35,0,0,20354,2017,6,L,91,82,11315,11292,675,AJQ,7
22,0,0,20354,2017,6,L,131,116,11503,15016,675,AJQ,8
38,0,0,20354,2017,6,L,143,124,15016,11503,675,AJQ,9
0,0,0,20354,2017,6,L,206,196,12544,11503,675,AJQ,10
0,800,0,20201,2017,6,P,178,168,10397,11292,635,AMQ,11
0,0,0,20201,2017,6,P,181,167,11292,11996,635,AMQ,12
156,0,0,20368,2017,6,L,132,120,11109,15570,622,G4,13
0,0,0,20368,2017,6,L,96,72,12889,11109,622,G4,14
3,0,0,21352,2017,6,L,122,113,10372,10800,684,0WQ,15
4,0,0,21352,2017,6,L,234,210,10800,11503,684,0WQ,16
3,0,0,21352,2017,6,L,233,209,11503,10800,684,0WQ,17
2,0,0,21352,2017,6,L,54,47,14869,10372,684,0WQ,18
62,0,0,19805,2017,6,L,164,88,11292,14107,699,AA,19
56,0,0,19805,2017,6,L,260,216,14100,11292,699,AA,20
160,0,0,19790,2017,6,F,169,152,10397,11109,622,DL,21
30,0,0,19790,2017,6,F,212,172,10397,11292,698,DL,22
150,14,39,19790,2017,6,F,174,156,10397,11292,699,DL,23
160,0,0,19790,2017,6,F,166,148,11109,10397,622,DL,24
139,0,0,19790,2017,6,F,91,75,11109,11298,694,DL,25
103,492,0,19790,2017,6,F,83,54,11122,11292,608,DL,26
4,0,0,19790,2017,6,F,153,132,11292,10397,698,DL,27
