carrier_name,unique_carrier_name,carrier,region_abr,carrier_group,carreir_group_new
JetBlue Airways,JetBlue Airways,B6,D,3,3
Virgin America,Virgin America,VX,D,3,3
Tradewind Aviation,Tradewind Aviation,04Q,D,1,6
Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,D,1,5
Ameristar Air Cargo,Ameristar Air Cargo,AMQ,D,1,4
Allegiant Air,Allegiant Air,G4,D,3,3
Avjet Corporation,Avjet Corporation,0WQ,D,1,1
American Airlines Inc.,American Airlines Inc.,AA,D,3,3
Delta Air Lines Inc.,Delta Air Lines Inc.,DL,D,3,3
Miami Air International,Miami Air International,GL,D,2,2
United Air Lines Inc.,United Air Lines Inc.,UA,D,3,3
United Air Lines Inc.,United Air Lines Inc.,UA,P,3,3
Southwest Airlines Co.,Southwest Airlines Co.,WN,D,3,3
Southwest Airlines Co.,Southwest Airlines Co.,WN,L,3,3
"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",27Q,D,1,1
Omni Air International LLC,Omni Air International LLC,X9,I,2,2
"Swift Air, LLC","Swift Air, LLC",09Q,D,1,1
Kalitta Charters II,Kalitta Charters II,KLQ,D,1,1
CFM Inc d/b/a Contour Airlines,CFM Inc d/b/a Contour Airlines,LF,D,1,6
Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,SY,D,2,2
USA Jet Airlines Inc.,USA Jet Airlines Inc.,U7,D,2,2
Southern Air Inc.,Southern Air Inc.,9S,D,2,2
Alaska Airlines Inc.,Alaska Airlines Inc.,AS,D,3,3
Trans States Airlines,Trans States Airlines,AX,D,1,5
Peninsula Airways Inc.,Peninsula Airways Inc.,KS,D,1,5
Great Lakes Airlines,Great Lakes Airlines,ZK,D,1,6
Boutique Air,Boutique Air,4B,D,1,6
GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,G7,D,2,2
SkyWest Airlines Inc.,SkyWest Airlines Inc.,OO,D,3,3
Republic Airlines,Republic Airlines,YX,D,2,2
Frontier Airlines Inc.,Frontier Airlines Inc.,F9,D,3,3
Federal Express Corporation,Federal Express Corporation,FX,D,3,3
Spirit Air Lines,Spirit Air Lines,NK,D,3,3
Mesa Airlines Inc.,Mesa Airlines Inc.,YV,D,2,2
Envoy Air,Envoy Air,MQ,D,3,3
ExpressJet Airlines Inc.,ExpressJet Airlines Inc.,EV,D,3,3
United Parcel Service,United Parcel Service,5X,D,3,3
Endeavor Air Inc.,Endeavor Air Inc.,9E,D,2,2
Compass Airlines,Compass Airlines,CP,D,2,2
Via Airlines d/b/a Charter Air Transport,Via Airlines d/b/a Charter Air Transport,1AQ,D,1,6
Horizon Air,Horizon Air,QX,D,2,2
Empire Airlines Inc.,Empire Airlines Inc.,EM,D,1,5
