city_state,destination_market_id,destination_wac,origin_wac,city_abr
"Denver, CO",30325,82,91,DEN
"San Francisco, CA",32457,91,82,SFO
"Denver, CO",30325,82,61,APA
"Dickinson, ND",31315,66,82,DIK
"Williston, ND",32389,66,82,ISN
"Denver, CO",30325,82,66,DEN
"St. Louis, MO",31123,64,82,STL
"Eagle, CO",31503,82,64,EGE
"Eagle, CO",31503,82,36,EGE
"Denver, CO",30325,82,34,DEN
"Greer, SC",31871,37,82,GSP
"Victorville, CA",35570,91,82,VCV
"Colorado Springs, CO",30189,82,85,COS
"Burbank, CA",32575,91,82,BUR
"Eagle, CO",31503,82,91,EGE
"Aspen, CO",30372,82,87,ASE
"Phoenix, AZ",30466,81,82,PHX
"Denver, CO",30325,82,23,DEN
"Colorado Springs, CO",30189,82,34,COS
"Atlanta, GA",30397,34,82,ATL
"Dallas/Fort Worth, TX",30194,74,82,DFW
"Denver, CO",30325,82,88,DEN
"Cincinnati, OH",33105,52,82,CVG
"Detroit, MI",31295,43,82,DTW
"Sioux Falls, SD",31775,67,82,FSD
"Las Vegas, NV",32211,85,82,LAS
"San Diego, CA",33570,91,82,SAN
"Salt Lake City, UT",34614,87,82,SLC
"Denver, CO",30325,82,43,DEN
"Denver, CO",30325,82,63,DEN
"Denver, CO",30325,82,73,DEN
"Denver, CO",30325,82,87,DEN
"Denver, CO",30325,82,11,DEN
"Detroit, MI",31295,43,82,YIP
"Colorado Springs, CO",30189,82,91,COS
"Denver, CO",30325,82,65,DEN
"Cleveland, OH",30647,44,82,CLE
"Jackson/Vicksburg, MS",32448,53,82,JAN
"Los Angeles, CA",32575,91,82,LAX
"Miami, FL",32467,33,82,MIA
"Richmond, VA",34524,38,82,RIC
"Denver, CO",30325,82,64,DEN
"Denver, CO",30325,82,82,DEN
"Colorado Springs, CO",30189,82,74,COS
"Buffalo, NY",30792,22,82,BUF
"Corpus Christi, TX",31140,74,82,CRP
"Panama City, FL",31481,33,82,ECP
"Gulfport/Biloxi, MS",31973,53,82,GPT
"Lubbock, TX",32896,74,82,LBB
"Little Rock, AR",32600,71,82,LIT
"Austin, TX",30423,74,82,AUS
"Chicago, IL",30977,41,82,ORD
"San Jose, CA",32457,91,82,SJC
"Denver, CO",30325,82,74,APA
"Denver, CO",30325,82,44,APA
"Aspen, CO",30372,82,74,ASE
"Denver, CO",30325,82,81,DEN
"Denver, CO",30325,82,74,DEN
"Oakland, CA",32457,91,82,OAK
"Pontiac, MI",34275,43,82,PTK
"Grand Junction, CO",31921,82,87,GJT
"Wendover, UT",31563,87,82,ENV
"Denver, CO",30325,82,22,DEN
"Denver, CO",30325,82,41,DEN
"Milwaukee, WI",33342,45,82,MKE
"Denver, CO",30325,82,85,DEN
"Bullhead City, AZ",30590,81,82,IFP
"Fort Collins/Loveland, CO",31719,82,81,FNL
